Date Snapshot,Drawdown
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,-0.016733735760605106
2020-05-07,-0.01249006517986151
2020-05-08,-0.02447437309560785
2020-05-11,-0.004970287084739011
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-18,0.0
2020-05-19,-0.008497080999921525
2020-05-20,-0.009369842112440074
2020-05-21,-0.006697525201242116
2020-05-22,-0.02269525770713643
2020-05-25,-0.007586227732210404
2020-05-26,-0.014651460715220499
2020-05-27,-0.015805381645121463
2020-05-28,-0.02458318851618646
2020-05-29,-0.026629609746772642
2020-06-01,-0.04050843790558012
2020-06-02,-0.039703558408698325
2020-06-03,-0.0553632973251349
2020-06-04,-0.05802514540185677
2020-06-05,-0.07812604870334361
2020-06-08,-0.07407846936116114
2020-06-09,-0.08759346250754285
2020-06-10,-0.10722708272559522
2020-06-11,-0.10366003491371589
2020-06-12,-0.09845396824174357
2020-06-15,-0.09928456968704202
2020-06-16,-0.09255039408402876
2020-06-17,-0.09235513379189209
2020-06-18,-0.08495073556922217
2020-06-19,-0.07647245030286964
2020-06-22,-0.09112857717147727
2020-06-23,-0.11530876255390587
2020-06-24,-0.11803983305876076
2020-06-25,-0.12689276233862512
2020-06-26,-0.12137052349011601
2020-06-29,-0.1322691027402918
2020-06-30,-0.15293417741354043
2020-07-01,-0.14009664837233893
2020-07-02,-0.13390526489533805
2020-07-03,-0.13179900246177056
2020-07-06,-0.12922660774447847
2020-07-07,-0.13391859348510238
2020-07-08,-0.136948649208811
2020-07-09,-0.1519895700853423
2020-07-10,-0.16245200359929668
2020-07-13,-0.15072088953765472
2020-07-14,-0.15056490021996272
2020-07-15,-0.15333076165018056
2020-07-16,-0.16406217448603433
2020-07-17,-0.17743777416473583
2020-07-20,-0.1899509484266313
2020-07-21,-0.20268124170542656
2020-07-22,-0.1800698310384351
2020-07-23,-0.1772812257104196
2020-07-24,-0.1791619152931353
2020-07-27,-0.1732676345133758
2020-07-28,-0.1870005169188338
2020-07-29,-0.18932766633513798
2020-07-30,-0.19190009646462314
2020-07-31,-0.20493722047770424
2020-08-03,-0.1992254374879815
2020-08-04,-0.20425707161036333
2020-08-05,-0.19888060155705511
2020-08-06,-0.19998060587100908
2020-08-07,-0.20853247144796372
2020-08-10,-0.22582590435114958
2020-08-11,-0.22359170300426467
2020-08-12,-0.2180458495500821
2020-08-13,-0.22085829922940037
2020-08-14,-0.2254239297296211
2020-08-17,-0.21295245138423413
2020-08-18,-0.21742841501426646
2020-08-19,-0.19952976098053887
2020-08-20,-0.18808571351707326
2020-08-21,-0.20111938364765924
2020-08-24,-0.2125984466093127
2020-08-25,-0.20759367827143171
2020-08-26,-0.1948460875123058
2020-08-27,-0.19262152605394345
2020-08-28,-0.20395816614787055
2020-08-31,-0.20375011661882503
2020-09-01,-0.2064641450385023
2020-09-02,-0.2059613825811033
2020-09-03,-0.2149203894245576
2020-09-04,-0.21525835134388727
2020-09-07,-0.20643575692961824
2020-09-08,-0.19598951469309267
2020-09-09,-0.20190925458134246
2020-09-10,-0.19909072952322238
2020-09-11,-0.18431735906627278
2020-09-14,-0.18744021964375368
2020-09-15,-0.19497447465377238
2020-09-16,-0.21098303939514074
2020-09-17,-0.21263833098785945
2020-09-18,-0.20731720068618253
2020-09-21,-0.20119444136676623
2020-09-22,-0.20136550660666208
2020-09-23,-0.1939223532208718
2020-09-24,-0.2031034426338979
2020-09-25,-0.1899566553435008
2020-09-28,-0.17051108635144585
2020-09-29,-0.18166701027697252
2020-09-30,-0.1862619593347773
2020-10-01,-0.1743019974047908
2020-10-02,-0.16983408324179583
2020-10-05,-0.17365899725114997
2020-10-06,-0.17967178452889176
2020-10-07,-0.17109384965354313
2020-10-08,-0.17472921937847385
2020-10-09,-0.19993786550034398
2020-10-12,-0.21244007890647398
2020-10-13,-0.20952168143767647
2020-10-14,-0.19337898004207632
2020-10-15,-0.19100609176241012
2020-10-16,-0.18020570763030075
2020-10-19,-0.19766766579110462
2020-10-20,-0.19057767464510578
2020-10-21,-0.20061486971664455
2020-10-22,-0.2267721666203627
2020-10-23,-0.23770593991785627
2020-10-26,-0.2411108593854745
2020-10-27,-0.2579811854419519
2020-10-28,-0.252828057603397
2020-10-29,-0.2646257657869475
2020-10-30,-0.27073142422338303
2020-11-02,-0.27664629571251986
2020-11-03,-0.28989815861385715
2020-11-04,-0.2980574542332908
2020-11-05,-0.2973866322862504
2020-11-06,-0.3093460443042726
2020-11-09,-0.3244929170447618
2020-11-10,-0.3201997865340068
2020-11-11,-0.30900100197631075
2020-11-12,-0.30896481023670774
2020-11-13,-0.3176597307228366
2020-11-16,-0.3277728811435069
2020-11-17,-0.32665579716342685
2020-11-18,-0.32108027549774454
2020-11-19,-0.3189033364228585
2020-11-20,-0.33050766009279053
2020-11-23,-0.32489877712401716
2020-11-24,-0.3324060926018373
2020-11-25,-0.3292672234605365
2020-11-26,-0.32641430511233627
2020-11-27,-0.3277385713750831
2020-11-30,-0.3256629828583879
2020-12-01,-0.3124084200127971
2020-12-02,-0.315336500276304
2020-12-03,-0.3164978855623072
2020-12-04,-0.30678586044411804
2020-12-07,-0.3042133627309409
2020-12-08,-0.3080113427298412
2020-12-09,-0.3100089875802581
2020-12-10,-0.28763343758445914
2020-12-11,-0.3023156247084965
2020-12-14,-0.31545401145883945
2020-12-15,-0.3321621970754711
2020-12-16,-0.32203548547751026
2020-12-17,-0.3007456397255228
2020-12-18,-0.2989901223252993
2020-12-21,-0.28206696736847714
2020-12-22,-0.2770716046696242
2020-12-23,-0.2526062003599808
2020-12-24,-0.24704883403184041
2020-12-25,-0.23764207035389062
2020-12-28,-0.2368375078422953
2020-12-29,-0.22994135047812536
2020-12-30,-0.22868216294567534
2020-12-31,-0.22989941036527495
2021-01-01,-0.22373227287563313
2021-01-04,-0.21780933096939747
2021-01-05,-0.2167920374555672
2021-01-06,-0.23277621188875286
2021-01-07,-0.22804765229954305
2021-01-08,-0.24919703782160685
2021-01-11,-0.2393562276548279
2021-01-12,-0.2288312209636787
2021-01-13,-0.23209014841321096
2021-01-14,-0.23784390171317615
2021-01-15,-0.20658817350001601
2021-01-18,-0.20737946541462593
2021-01-19,-0.21328594865146455
2021-01-20,-0.2079277880455741
2021-01-21,-0.20574308831427912
2021-01-22,-0.21333765286991535
2021-01-25,-0.21000006945556282
2021-01-26,-0.2128760849168816
2021-01-27,-0.2138666842010719
2021-01-28,-0.2181490445327673
2021-01-29,-0.21408347896380786
2021-02-01,-0.21522993580536864
2021-02-02,-0.22117298582689326
2021-02-03,-0.20333773012476608
2021-02-04,-0.20496721217800795
2021-02-05,-0.21332495479746538
2021-02-08,-0.2142801288362568
2021-02-09,-0.20284644621713643
2021-02-10,-0.2143130955056728
2021-02-11,-0.20802539701318112
2021-02-12,-0.20862878713077915
2021-02-15,-0.19704426038560618
2021-02-16,-0.2109297843504253
2021-02-17,-0.1955869582180978
2021-02-18,-0.17463113192078417
2021-02-19,-0.1826506280682414
2021-02-22,-0.1712822853627659
2021-02-23,-0.15738287143394636
2021-02-24,-0.17149312091958524
2021-02-25,-0.1621544698485079
2021-02-26,-0.17813595078238265
2021-03-01,-0.17401312246581746
2021-03-02,-0.17637593146966335
2021-03-03,-0.17501566610796315
2021-03-04,-0.19016703771441235
2021-03-05,-0.2144136933126105
2021-03-08,-0.21362998790001764
2021-03-09,-0.22085957855482852
2021-03-10,-0.20737018114183003
2021-03-11,-0.21040037908945242
2021-03-12,-0.21349812553332248
2021-03-15,-0.19981476878484972
2021-03-16,-0.19919414293028825
2021-03-17,-0.1943836391991598
2021-03-18,-0.18465110745292967
2021-03-19,-0.17976221703456174
2021-03-22,-0.18852359788810102
2021-03-23,-0.17436280813538996
2021-03-24,-0.18158131842225822
2021-03-25,-0.1799871544281746
2021-03-26,-0.17336295709205163
2021-03-29,-0.17749258825216196
2021-03-30,-0.19448585420770836
2021-03-31,-0.21385465260144199
2021-04-01,-0.2231341525756847
2021-04-02,-0.2257873676877592
2021-04-05,-0.23063699372677393
2021-04-06,-0.22560424367370335
2021-04-07,-0.22926541287475777
2021-04-08,-0.22307775560603194
2021-04-09,-0.2166314150095302
2021-04-12,-0.23297388938537922
2021-04-13,-0.22151315308629171
2021-04-14,-0.2289224231874175
2021-04-15,-0.24516616781351475
2021-04-16,-0.2673904535911761
2021-04-19,-0.2740779311428382
2021-04-20,-0.28990151359214467
2021-04-21,-0.2944561343043519
2021-04-22,-0.29502592822305873
2021-04-23,-0.29193338756804466
2021-04-26,-0.2894765235011654
2021-04-27,-0.295272042916484
2021-04-28,-0.2779758611842036
2021-04-29,-0.2676644411431448
2021-04-30,-0.2667011508231846
2021-05-03,-0.27717927437017675
2021-05-04,-0.2865752749143766
2021-05-05,-0.2935197575283487
2021-05-06,-0.2816575448113928
2021-05-07,-0.26280047699696296
2021-05-10,-0.2682134569047724
2021-05-11,-0.2720460470235172
2021-05-12,-0.28797183901639534
2021-05-13,-0.280140101749646
2021-05-14,-0.26955249656915026
2021-05-17,-0.26621725839698984
2021-05-18,-0.2687418808861668
2021-05-19,-0.2806289770334013
2021-05-20,-0.2789597417045985
2021-05-21,-0.27021160990322546
2021-05-24,-0.2548005879876404
2021-05-25,-0.257841091027758
2021-05-26,-0.26040434933867096
2021-05-27,-0.25787657936986785
2021-05-28,-0.26468288537230666
2021-05-31,-0.2655302719603231
2021-06-01,-0.2551749532776968
2021-06-02,-0.24222590444190506
2021-06-03,-0.24610034624974175
2021-06-04,-0.25558408393425325
2021-06-07,-0.2695194707726969
2021-06-08,-0.2583698389471598
2021-06-09,-0.28305273954560983
2021-06-10,-0.28842183561165646
2021-06-11,-0.2991760599535588
2021-06-14,-0.30142258499551666
2021-06-15,-0.298419141088221
2021-06-16,-0.3118965757592207
2021-06-17,-0.3225742741589196
2021-06-18,-0.33528253764556226
2021-06-21,-0.33498754244368023
2021-06-22,-0.3380327878874494
2021-06-23,-0.3431457913551066
2021-06-24,-0.351706150832356
2021-06-25,-0.36135769260303663
2021-06-28,-0.355802496412681
2021-06-29,-0.35490840670055734
2021-06-30,-0.3656267315214836
2021-07-01,-0.3561633887148282
2021-07-02,-0.3635571032570777
2021-07-05,-0.36724708256403205
2021-07-06,-0.38066951872138066
2021-07-07,-0.3794890895426356
2021-07-08,-0.37935340582895904
2021-07-09,-0.38257878464372996
2021-07-12,-0.3852096159180004
2021-07-13,-0.3721188554160343
2021-07-14,-0.36817826649316243
2021-07-15,-0.37369521170856834
2021-07-16,-0.3655054867783053
2021-07-19,-0.37252696903124216
2021-07-20,-0.37734613842275955
2021-07-21,-0.3669528396253351
2021-07-22,-0.3600600756520822
2021-07-23,-0.3699702959293475
2021-07-26,-0.3614950034025487
2021-07-27,-0.3498614903524915
2021-07-28,-0.36033019178753334
2021-07-29,-0.37128250566151255
2021-07-30,-0.36747654105130567
2021-08-02,-0.3671753403280187
2021-08-03,-0.3728637050613407
2021-08-04,-0.3592651196064435
2021-08-05,-0.358155294119214
2021-08-06,-0.36257391351371515
2021-08-09,-0.3661168919213411
2021-08-10,-0.3675880953312082
2021-08-11,-0.3698498943708527
2021-08-12,-0.3699293785763186
2021-08-13,-0.3769438572309559
2021-08-16,-0.3691669607687108
2021-08-17,-0.35888565019474616
2021-08-18,-0.3615113649676779
2021-08-19,-0.38236674858317143
2021-08-20,-0.3644384502086726
2021-08-23,-0.3562438212837402
2021-08-24,-0.3596080207504201
2021-08-25,-0.36221899522000256
2021-08-26,-0.3641161945550404
2021-08-27,-0.36883781144310424
2021-08-30,-0.38503848786661066
2021-08-31,-0.38096401794506385
2021-09-01,-0.3987622821347575
2021-09-02,-0.4002269883690951
2021-09-03,-0.4039792143521008
2021-09-06,-0.40326529309743764
2021-09-07,-0.4178731074094477
2021-09-08,-0.4130301343300363
2021-09-09,-0.40456440625071055
2021-09-10,-0.40595460653296656
2021-09-13,-0.411694440542139
2021-09-14,-0.41665945290444995
